Date,Adj Close
2018-03-13,12.35
2018-03-14,12.0
2018-03-15,12.2
2018-03-16,12.45
2018-03-19,12.3
2018-03-20,12.15
2018-03-21,12.1
2018-03-22,11.85
2018-03-23,11.4
2018-03-26,11.6
2018-03-27,11.3
2018-03-28,11.3
2018-03-29,11.15
2018-04-02,10.9
2018-04-03,10.95
2018-04-04,11.0
2018-04-05,11.1
2018-04-06,11.0
2018-04-09,10.8
2018-04-10,10.95
2018-04-11,11.3
2018-04-12,11.2
2018-04-13,11.1
2018-04-16,11.2
2018-04-17,11.35
2018-04-18,11.4
2018-04-19,11.1
2018-04-20,11.0
2018-04-23,11.0
2018-04-24,10.95
2018-04-25,11.0
2018-04-26,10.8
2018-04-27,10.7
2018-04-30,10.7
2018-05-01,10.4
2018-05-02,10.55
2018-05-03,10.6
2018-05-04,10.8
2018-05-07,10.9
2018-05-08,10.95
2018-05-09,10.7
2018-05-10,11.05
2018-05-11,11.35
2018-05-14,11.65
2018-05-15,11.6
2018-05-16,11.65
2018-05-17,11.7
2018-05-18,11.95
2018-05-21,12.15
2018-05-22,12.05
2018-05-23,12.25
2018-05-24,12.05
2018-05-25,12.0
2018-05-29,11.9
2018-05-30,12.05
2018-05-31,11.95
2018-06-01,12.05
2018-06-04,12.05
2018-06-05,12.05
2018-06-06,12.1
2018-06-07,12.0
2018-06-08,11.95
2018-06-11,12.05
2018-06-12,12.05
2018-06-13,12.0
2018-06-14,12.05
2018-06-15,12.05
2018-06-18,12.05
2018-06-19,12.0
2018-06-20,11.85
2018-06-21,11.7
2018-06-22,11.85
2018-06-25,11.55
2018-06-26,11.35
2018-06-27,10.85
2018-06-28,10.65
2018-06-29,11.15
2018-07-02,11.2
2018-07-03,10.95
2018-07-05,10.65
2018-07-06,10.8
2018-07-09,10.9
2018-07-10,11.0
2018-07-11,11.3
2018-07-12,11.7
2018-07-13,11.5
2018-07-16,11.3
2018-07-17,11.3
2018-07-18,11.45
2018-07-19,11.45
2018-07-20,11.35
2018-07-23,11.3
2018-07-24,11.25
2018-07-25,11.2
2018-07-26,11.35
2018-07-27,11.0
2018-07-30,11.2
2018-07-31,11.25
2018-08-01,11.3
2018-08-02,11.25
2018-08-03,11.2
2018-08-06,11.35
2018-08-07,11.2
2018-08-08,11.15
2018-08-09,15.1
2018-08-10,15.55
2018-08-13,15.7
2018-08-14,15.95
2018-08-15,15.9
2018-08-16,15.95
2018-08-17,16.049999
2018-08-20,15.95
2018-08-21,16.15
2018-08-22,16.35
2018-08-23,16.1
2018-08-24,16.1
2018-08-27,16.4
2018-08-28,16.5
2018-08-29,16.5
2018-08-30,16.6
2018-08-31,16.75
2018-09-04,16.9
2018-09-05,16.9
2018-09-06,16.65
2018-09-07,16.549999
2018-09-10,16.799999
2018-09-11,16.65
2018-09-12,16.700001
2018-09-13,16.799999
2018-09-14,17.0
2018-09-17,16.950001
2018-09-18,17.0
2018-09-19,17.0
2018-09-20,17.049999
2018-09-21,17.0
2018-09-24,16.9
2018-09-25,17.5
2018-09-26,18.299999
2018-09-27,18.299999
2018-09-28,18.25
2018-10-01,18.18
2018-10-02,18.040001
2018-10-03,18.120001
2018-10-04,18.209999
2018-10-05,17.99
2018-10-08,18.07
2018-10-09,17.790001
2018-10-10,17.639999
2018-10-11,17.1
2018-10-12,17.690001
2018-10-15,18.18
2018-10-16,18.299999
2018-10-17,18.290001
2018-10-18,18.059999
2018-10-19,17.549999
2018-10-22,17.870001
2018-10-23,17.790001
2018-10-24,17.110001
2018-10-25,17.32
2018-10-26,17.68
2018-10-29,16.959999
2018-10-30,17.040001
2018-10-31,17.120001
2018-11-01,17.889999
2018-11-02,17.700001
2018-11-05,17.49
2018-11-06,17.549999
2018-11-07,18.75
2018-11-08,18.940001
2018-11-09,18.24
2018-11-12,17.92
2018-11-13,18.4
2018-11-14,18.459999
2018-11-15,18.719999
2018-11-16,18.91
2018-11-19,18.93
2018-11-20,18.75
2018-11-21,18.73
2018-11-23,18.790001
2018-11-26,18.68
2018-11-27,18.4
2018-11-28,18.549999
2018-11-29,18.41
2018-11-30,18.200001
2018-12-03,18.27
2018-12-04,18.01
2018-12-06,17.950001
2018-12-07,17.99
2018-12-10,18.049999
2018-12-11,18.059999
2018-12-12,17.969999
2018-12-13,17.65
2018-12-14,24.68
2018-12-17,24.700001
2018-12-18,24.799999
2018-12-19,24.860001
2018-12-20,25.200001
2018-12-21,24.969999
2018-12-24,24.73
2018-12-26,25.059999
2018-12-27,24.940001
2018-12-28,24.83
2018-12-31,25.030001
2019-01-02,24.950001
2019-01-03,24.85
2019-01-04,24.85
2019-01-07,24.83
2019-01-08,24.85
2019-01-09,24.799999
2019-01-10,24.84
2019-01-11,24.860001
2019-01-14,24.860001
2019-01-15,24.879999
2019-01-16,24.860001
2019-01-17,24.870001
2019-01-18,24.82
2019-01-22,24.85
2019-01-23,24.85
2019-01-24,24.870001
2019-01-25,24.870001
2019-01-28,24.870001
2019-01-29,24.9
2019-01-30,24.91
2019-01-31,24.92
2019-02-01,24.93
2019-02-04,24.99
2019-02-05,24.889999
2019-02-06,24.879999
2019-02-07,24.9
2019-02-08,24.889999
2019-02-11,24.91
2019-02-12,24.92
2019-02-13,24.9
2019-02-14,24.93
2019-02-15,24.889999
2019-02-19,24.870001
2019-02-20,24.879999
2019-02-21,24.889999
2019-02-22,24.9
2019-02-25,24.889999
2019-02-26,24.9
2019-02-27,24.889999
2019-02-28,24.85
2019-03-01,24.860001
2019-03-04,24.940001
2019-03-05,24.92
2019-03-06,24.9
2019-03-07,24.91
2019-03-08,24.9
2019-03-11,24.879999
2019-03-12,24.92
2019-03-13,24.92
2019-03-14,24.9
2019-03-15,24.9
2019-03-18,24.9
2019-03-19,24.85
2019-03-20,24.870001
2019-03-21,24.860001
2019-03-22,24.870001
2019-03-25,24.879999
2019-03-26,24.9
2019-03-27,24.9
2019-03-28,24.940001
2019-03-29,24.93
2019-04-01,24.92
2019-04-02,24.92
2019-04-03,24.940001
